# debris fragments from Cosmos1408 ASAT test
# simulated by Hugh Lewis
# file received by AL 2021-11-25
# SMA is semi-major axis from centre of Earth
# SMA-km   	ECC	         INC-dg	     RAAN-dg	AOP-dg	    MA-dg
6948.851353	0.016055	83.242173	123.148275	286.399793	41.771157
6886.637848	0.003436	82.352869	123.6951	302.057391	27.105743
7135.645032	0.047383	82.693815	123.485167	289.96869	36.059806
6872.78716	0.002401	82.737006	123.458582	264.911258	64.213813
6816.521096	0.007542	82.565397	123.564179	130.761478	198.872158
6834.380407	0.006502	83.881414	122.756691	103.286755	226.705377
6805.997086	0.010922	83.155084	123.201706	112.089874	218.074776
7013.5073	0.025961	82.707883	123.476505	5.098688	325.989598
6873.773325	0.001236	82.618712	123.531365	317.230884	12.103365
6912.171569	0.00727	82.43962	123.641646	350.35747	339.291395
6768.787403	0.014371	82.228557	123.771739	155.113747	174.044722
7079.921543	0.031005	83.849492	122.776231	315.931699	12.719222
6945.762755	0.014825	83.048771	123.266984	289.340559	38.976069
7254.450479	0.056682	80.816464	124.646438	348.483546	342.798912
6928.263342	0.009293	82.561575	123.566539	341.4333	348.150308
6931.652821	0.016986	80.851374	124.624697	271.840717	55.740981
6800.784186	0.018592	80.973803	124.54856	206.802552	120.599772
6901.598942	0.006739	82.665353	123.502664	7.841781	322.005949
6846.696139	0.007161	82.280066	123.73998	81.421942	248.675061
7604.71842	0.097434	80.710136	124.712639	323.899138	4.363122
6935.65714	0.044111	79.393505	125.536237	47.496971	286.474721
6950.166896	0.022725	83.082551	123.246242	27.312749	304.27721
6874.267236	0.008468	82.277938	123.741293	50.334392	279.95948
6802.985729	0.0094	83.883829	122.755212	136.321105	193.376511
6750.657895	0.019802	84.13304	122.60286	118.415293	212.234319
6926.108393	0.01047	82.574422	123.55863	295.021344	33.669417
7077.978226	0.030982	81.393695	124.287956	343.262794	346.846369
7649.003833	0.127159	82.113892	123.842536	9.484937	328.613794
6886.916489	0.003594	82.600913	123.542321	298.666172	30.487351
6878.367477	0.005445	82.469796	123.623055	38.696551	291.238774
6869.196048	0.001723	82.508743	123.599067	256.986314	72.180467
6759.384142	0.015777	83.032749	123.27681	142.53721	187.070359
6876.909812	0.001777	82.63807	123.519451	348.910625	340.52298
6859.236971	0.00223	82.586425	123.551237	82.633615	246.961912
6813.32927	0.007683	82.674904	123.496782	154.143737	175.146909
6994.075106	0.018534	82.362288	123.689303	335.950695	353.639964
6815.351468	0.0078	83.164513	123.19592	129.167308	200.545783
6749.683971	0.017387	82.756443	123.446618	158.034041	171.029513
6793.209922	0.01251	82.707499	123.476727	117.157202	212.979492
6925.572646	0.009777	82.812913	123.411907	356.281306	333.604275
7105.859012	0.03425	81.914162	123.965853	319.173952	9.469656
6869.600893	0.002413	82.563488	123.565358	44.200458	285.425679
6895.358477	0.006837	82.316476	123.717534	277.649953	51.077917
6736.934888	0.021638	82.927291	123.341591	176.251385	151.991393
6935.86988	0.010167	82.501614	123.603461	325.378916	3.899637
6791.399325	0.014656	83.203838	123.171786	190.043138	138.257448
6867.257581	0.003311	83.156706	123.200715	243.034071	85.99181
7082.332221	0.03076	83.218076	123.163067	322.899567	6.129569
7259.343234	0.054246	83.003548	123.294775	328.268728	1.027554
6782.644801	0.014106	82.35126	123.696084	118.876604	211.287723
6830.118994	0.005342	83.475417	123.005254	163.159118	166.120194
6860.592985	0.01905	82.373753	123.682227	61.796947	269.728798
6862.295399	0.002216	82.542983	123.577982	70.653119	258.953288
7262.893513	0.077884	83.037061	123.274191	279.98342	42.903821
6841.650848	0.018347	82.393436	123.670096	70.534994	260.877017
7029.630573	0.023499	81.200831	124.407575	335.087804	354.430441
6735.708599	0.021916	83.210697	123.167573	120.697981	209.926862
6836.165317	0.004289	82.236836	123.766638	145.023615	184.344436
6801.48086	0.009541	82.445045	123.638295	138.839286	190.707525
6908.461158	0.007481	82.15154	123.819263	2.476131	327.318157
6831.341119	0.005147	82.984235	123.306613	162.752965	166.499941
6821.707856	0.006535	82.345058	123.69991	137.365896	192.129222
6846.325512	0.004098	82.609702	123.536909	101.706584	228.002937
6869.704331	0.001229	82.701758	123.480264	28.355972	301.134974
6854.259945	0.003099	82.659313	123.506378	90.50751	239.162876
6795.938071	0.011189	82.508073	123.599474	124.883835	205.00208
6818.137692	0.006974	82.519659	123.59234	142.655458	186.791831
6814.840867	0.007781	82.667141	123.501559	165.93544	163.173278
6939.207253	0.010629	82.41245	123.658387	329.706122	359.652238
6855.913837	0.00328	82.425913	123.650086	83.810218	245.879831
6953.100092	0.01272	82.742541	123.455183	336.486824	353.069881
6780.015365	0.015571	82.163669	123.811769	113.075502	217.311103
6900.328044	0.005496	82.534725	123.583069	351.845994	337.752739
6831.114208	0.006096	82.516181	123.594483	114.289396	215.466842
6934.364297	0.011461	82.72131	123.468241	358.829252	331.187116
7042.850203	0.027104	81.988493	123.919929	350.838004	339.601033
6814.264643	0.007954	82.66828	123.500857	167.732404	161.343261
7322.115837	0.074816	89.884432	119.117473	4.891219	329.509433
7047.647884	0.032247	82.164159	123.811485	6.410082	325.111406
6816.355413	0.007919	82.588291	123.550085	173.036356	155.955517
6776.299318	0.01442	82.507078	123.600085	124.706243	205.339234
6858.728639	0.013443	82.691375	123.486651	233.665132	94.169185
7014.811092	0.021288	82.882959	123.368853	329.064304	0.314155
6829.170561	0.006176	83.136893	123.212873	179.170742	149.877401
6874.535769	0.005921	82.420398	123.653486	46.009595	283.998113
6970.903918	0.015855	82.589427	123.549397	346.328735	343.562275
6879.107244	0.003019	82.381414	123.677507	279.585472	49.495975
6737.881748	0.019251	82.82577	123.403989	138.26783	191.535564
7047.670242	0.026727	82.849489	123.389428	343.742764	346.393177
6797.246652	0.010606	83.496972	122.992044	167.442282	161.603767
7066.314687	0.02872	81.950911	123.943145	319.986333	8.810015
6979.376156	0.016396	81.546902	124.193026	322.892021	6.180042
6940.710628	0.011849	82.516118	123.59453	304.52188	24.271758
7052.697305	0.026549	82.022461	123.898951	327.315082	1.907243
6811.652834	0.008224	82.166942	123.809752	164.714177	164.357826
7165.709987	0.044931	82.521872	123.591	350.742073	340.448384
6864.290488	0.001939	82.539829	123.579924	63.661821	265.916938
6815.085016	0.007421	82.444179	123.63883	154.039498	175.236708
6831.788682	0.004925	82.349583	123.697122	149.370167	179.969461
7083.883377	0.03085	81.74647	124.069521	326.252583	2.865556
6902.80363	0.005726	82.786122	123.428378	347.822011	341.763399
6873.917012	0.001307	82.536899	123.581729	348.01728	341.387998
6915.941177	0.007862	82.607971	123.537979	306.641391	22.377885
6869.759022	0.005225	82.827194	123.403123	52.006841	277.966666
7112.878553	0.043517	83.779618	122.818985	7.162882	325.270456
6873.580557	0.010692	82.880364	123.370439	52.873489	277.727005
6752.223377	0.016963	82.334101	123.706659	139.892045	189.765052
7230.914088	0.053504	83.388384	123.058622	308.424251	18.896653
6840.273482	0.006605	82.451181	123.634518	204.43271	124.293539
6856.932765	0.001534	82.005838	123.909203	184.524358	144.68655
6915.216996	0.007226	82.410033	123.659874	333.812094	355.601002
6920.333795	0.008359	82.619104	123.531127	347.204447	342.453815
6819.308129	0.007836	82.485702	123.613253	178.698861	150.209048
6726.771951	0.020613	84.056314	122.649745	150.088785	179.341988
6742.049737	0.0183	82.5727	123.559677	149.710348	179.628856
6812.011901	0.008313	82.533675	123.583709	129.34707	200.334535
6874.931771	0.038979	85.617832	121.698273	238.584207	86.499655
7047.308152	0.02879	83.218555	123.162771	301.553939	26.351608
6852.024142	0.002033	82.556567	123.569618	132.977384	196.446355
6918.992288	0.008463	82.874142	123.374267	304.527755	24.453148
6858.611179	0.002235	82.694955	123.484449	85.169199	244.430695
6868.473495	0.00753	82.526865	123.587907	241.523254	86.970922
6953.340234	0.013081	82.061804	123.874653	313.396964	15.518083
6828.501043	0.005589	82.270981	123.74558	134.027601	195.47543
7257.59572	0.056781	86.440375	121.199079	347.806066	343.753059
6860.687802	0.001399	82.534474	123.583221	88.333766	241.163107
6871.966004	0.005335	82.163549	123.81185	248.512873	80.210713
7032.109497	0.03035	82.25457	123.755714	288.795698	38.324733
6851.65553	0.007584	82.130363	123.832327	222.763952	105.724327
6800.645416	0.010682	82.64784	123.513434	175.243672	153.580229
6906.646785	0.011385	82.716521	123.471185	27.572541	302.904737
6794.772955	0.011016	84.548202	122.349417	167.82067	161.270826
6745.879267	0.024501	83.00978	123.290916	191.364849	136.117735
6883.867249	0.00652	82.999934	123.296973	34.738644	295.33286
6883.966747	0.006758	82.101223	123.850314	261.660499	66.94658
6861.21319	0.003823	82.495153	123.607435	68.079436	261.707194
6949.232351	0.018918	82.548685	123.574477	19.854853	311.165269
6749.754358	0.018287	82.372007	123.683295	168.678194	159.955692
6842.467349	0.003558	82.826588	123.403493	129.300816	200.217935
6843.683619	0.003243	82.598777	123.543632	137.181032	192.258513
6826.589282	0.011007	82.266469	123.748362	90.235069	240.184625
6772.847794	0.014503	82.180574	123.801338	167.838346	160.950895
6897.042636	0.004582	82.240267	123.764526	327.34518	1.971254
6943.740201	0.017097	81.748321	124.068367	279.037441	48.762974
6961.44036	0.01388	82.231613	123.769868	321.821526	7.309843
6843.459705	0.004612	82.228509	123.771774	102.879726	226.834867
6904.550015	0.00568	82.263247	123.750355	324.077167	5.200584
7212.810208	0.055653	78.248037	126.259693	296.400748	29.214857
7340.529661	0.083803	82.961005	123.320912	11.246567	324.28128
6745.528004	0.019721	82.927417	123.341515	123.413798	206.969649
6835.947208	0.004631	82.549424	123.574014	127.340411	202.215527
6836.708388	0.009591	83.401543	123.050533	85.131599	245.282218
6852.289344	0.002121	82.740116	123.456668	173.763537	155.508047
6892.458387	0.003983	82.49332	123.608566	318.261494	11.006266
6797.476674	0.014185	82.600786	123.542393	103.97577	226.548243
6908.265522	0.00958	82.289056	123.734441	278.463246	50.028085
6783.951807	0.012882	82.546156	123.576022	127.632655	202.271788
6944.349235	0.011655	82.5109	123.597743	341.663107	347.978323
7041.113314	0.036829	82.543854	123.577457	279.650269	46.553705
6865.582658	0.001508	81.463127	124.244911	239.201058	89.890803
7054.452241	0.02693	83.295279	123.115705	334.76201	354.944005
6791.036449	0.011846	82.103273	123.849041	126.426119	203.42337
6800.570161	0.01834	83.624398	122.913988	90.897646	240.341706
7185.964225	0.048834	83.041804	123.271275	353.862339	337.791438
6868.788388	0.002557	82.86818	123.377928	47.780569	281.889457
6953.372403	0.014182	82.691805	123.486393	355.922661	334.170927
6846.164852	0.004396	82.49286	123.608847	198.587817	130.382144
7320.262746	0.062597	80.552158	124.811041	335.999213	354.01158
6837.782594	0.00835	82.280677	123.739602	87.957948	242.219072
6828.591443	0.014356	82.569967	123.561367	81.429646	249.458668
6780.364512	0.012911	82.36447	123.687943	135.052551	194.65425
6904.043516	0.016774	83.073352	123.251886	40.079101	291.127652
6991.01257	0.01982	82.536134	123.582208	303.062008	25.308505
6859.53416	0.001102	82.884581	123.367846	110.034901	219.429083
6845.347549	0.003339	82.595859	123.545429	120.204943	209.342434
6773.96744	0.013657	82.752202	123.449229	157.21439	171.938563
6861.334251	0.002493	82.449918	123.635298	72.610967	257.01703
7231.323132	0.051001	81.937673	123.951334	320.808468	7.683635
7493.356719	0.08543	83.207915	123.169321	316.329655	11.020574
6736.523444	0.019317	82.747486	123.452127	140.795845	188.905118
6925.222724	0.012385	82.705311	123.478082	14.949843	315.430846
6926.418572	0.011168	82.074987	123.866512	6.951298	323.147191
7277.502313	0.059216	82.901778	123.357302	346.728756	344.615702
6841.206264	0.008699	82.052176	123.880588	214.077883	114.333366
6897.991029	0.013644	82.907941	123.353493	39.131184	291.718139
6892.234409	0.006004	82.433514	123.645406	278.660638	50.158636
6834.92818	0.005083	82.818353	123.408556	120.162612	209.5
7009.687756	0.023364	82.744732	123.453839	299.670344	28.403667
6843.649195	0.012981	82.216062	123.779452	73.482979	257.292419
6856.419706	0.003752	82.951162	123.326932	217.905892	111.082211
6808.81514	0.008378	82.456642	123.631152	155.626531	173.614249
6787.209719	0.027211	81.863249	123.997294	212.080276	114.416689
6901.204661	0.005964	82.413628	123.657658	298.724141	30.278055
6869.927419	0.004375	82.530127	123.585899	50.25846	279.592995
6939.620886	0.015263	81.426247	124.26777	282.308953	45.68796
6895.251673	0.006938	82.998864	123.297631	20.412037	309.598439
7032.698598	0.025125	83.639829	122.904552	309.344582	19.130502
7441.149754	0.077664	82.125893	123.835121	322.940202	5.4727
6780.873523	0.013346	82.584721	123.552281	127.970356	201.948612
6812.580873	0.017715	82.895315	123.361246	211.745937	115.826292
7097.061685	0.032727	82.515353	123.59501	333.236433	356.378156
6801.407683	0.009416	82.52724	123.587671	150.280489	179.054336
6870.718812	0.001518	82.864377	123.380265	28.307842	301.22397
6800.403061	0.010367	82.183068	123.799802	171.080137	157.800643
6842.791255	0.003466	82.439194	123.641903	165.854453	163.380073
6800.330408	0.010006	82.556529	123.569637	131.81314	197.889878
6828.94869	0.005343	82.732136	123.461575	147.818243	181.568843
6849.903742	0.002377	82.633858	123.522042	131.210194	198.238832
6935.314866	0.010629	82.967551	123.316869	309.805845	19.183063
6811.832744	0.007894	82.128774	123.833304	143.896555	185.510538
6829.920666	0.005199	82.504281	123.601811	148.815778	180.542237
6874.680409	0.001349	83.622564	122.915116	333.615812	355.83325
